trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240104,970,14157,14216
20240104,980,15298,15892
20240104,990,19277,19611
20240104,1000,58079,57311
20240104,1010,5227,5075
20240104,1020,21580,21597
20240104,1030,3658,3483
20240104,1040,13666,13844
20240104,1050,1475,1467
20240104,1060,1715,1733
20240104,1070,9023,9098
20240104,1080,25536,25985
20240104,1090,10105,9830
20240104,1100,21573,21837
20240104,1110,6177,6092
20240104,1120,5119,4753
20240104,1130,1576,1638
20240104,1140,364,375
20240104,1150,1037,1037
20240104,1160,3336,3405
20240104,1170,5076,5240
20240104,1180,5868,5953
20240104,1190,3039,3083
20240104,1191,254,269
20240104,1192,2039,2060
20240104,1193,675,708
20240104,1194,3289,3395
20240104,1201,57,63
20240104,1202,220,153
20240104,1203,443,448
20240104,1204,68,73
20240104,1205,39,36
20240104,1206,41,44
20240104,1207,4,82
20240104,1208,210,213
20240104,1210,17056,16680
20240104,1220,1495,1278
20240104,1230,660,629
20240104,1240,257,249
20240104,1250,7840,8049
20240104,2110,48,33
20240104,2120,85,93
20240104,2130,1253,1188
20240104,2140,27,28
20240104,2150,461,467
20240104,2160,35,38
20240104,2170,629,642
20240104,2180,1441,1402
20240104,2190,256,265
20240104,2200,2108,2104
20240104,2210,72,70
20240104,2220,1017,1100
20240104,2230,2033,2044
20240104,2240,385,381
20240104,2250,651,686
20240104,2260,1179,212
20240104,3140,354,354
20240104,3150,749,753
20240104,3160,5438,5147
20240104,3170,146,140
20240104,3180,725,741
20240104,3190,611,615
20240104,3210,548,514
20240104,3220,2451,2516
20240104,3230,6284,6665
20240104,3240,998,921
20240104,3250,2008,2060
20240104,3260,634,644
20240104,3270,2426,2423
20240104,3280,2022,1975
20240104,3290,1260,1255
20240104,3300,17056,16503
20240104,3310,1783,1786
20240104,3320,3162,3022
20240104,3330,522,554
20240104,3340,6983,6971
20240104,3350,552,1561
20240104,3360,10162,10308
20240104,3370,971,1060
20240104,3380,691,739
20240104,3390,6193,6442
20240104,3400,482,491
20240104,3410,1026,1052
20240104,3420,1956,2046
20240104,3430,891,876
20240104,3431,3,11
20240104,3432,49,42
20240104,3433,16,18
20240104,3434,146,96
20240104,3435,61,86
20240104,3436,55,74
20240104,3450,611,639
20240104,3460,149,157
20240104,3470,4018,4011
20240104,3480,1467,1608
20240104,3490,104,105
20240104,4050,1506,1443
20240104,4060,1601,1401
20240104,4070,778,786
20240104,4080,7313,7390
20240104,4090,570,583
20240104,4100,136,162
20240104,4110,582,596
20240104,4120,4263,4420
20240104,4130,951,887
20240104,4140,534,506
20240104,4150,1201,1160
20240104,4160,178,182
20240104,4170,3125,3153
20240104,4180,1495,1376
20240104,4190,2066,2023
20240104,4200,2840,2626
20240104,4210,3907,3701
20240104,4220,19454,19658
20240104,4250,1349,1570
20240104,4260,678,689
20240104,4270,353,358
20240104,4271,660,648
20240104,4272,2049,1950
20240104,4290,2092,1988
20240104,4300,1588,1611
20240104,4310,2318,2322
20240104,4320,1345,1491
20240104,4330,2269,2201
20240104,4340,9027,9101
20240104,4350,759,738
20240104,4360,869,903
20240104,4370,1454,1462
20240104,4380,434,489
20240104,4390,666,708
20240104,4400,11057,11438
20240104,4410,912,941
20240104,4420,1633,1570
20240104,4430,1464,1353
20240104,4440,4839,4847
20240104,4450,634,663
20240104,4460,1128,1119
20240104,4470,165,163
20240104,5000,8663,8658
20240104,5010,255,236
20240104,5020,179,157
20240104,5030,785,830
20240104,5040,273,263
20240104,5050,3186,3222
20240104,5060,227,205
20240104,5070,494,489
20240104,5080,38,27
20240104,5090,487,495
20240104,5100,146,155
20240104,5110,64,88
20240104,5120,788,762
20240104,5130,24,40
20240104,5160,2,2
20240104,5190,195,192
20240104,5200,14,18
20240104,5210,704,683
20240104,5220,118,103
20240104,5230,741,653
